순번,종목코드,종목명,전일종가,당일종가,당일채용주식수,전일상장주식수,"채용주식수반영
시가비중"
,KR7000070003,삼양홀딩스,"101,500",0,"3,768,279","8,564,271",0.031
,KR7000080002,하이트진로,"30,850",0,"30,858,788","70,133,611",0.077
,KR7000100008,유한양행,"67,500",0,"54,883,045","69,972,959",0.298
,KR7000120006,CJ대한통운,"125,000",0,"10,949,925","22,812,344",0.11
,KR7000150003,두산,"119,500",0,"5,452,865","16,523,835",0.052
,KR7000210005,DL,"63,000",0,"11,944,853","20,955,884",0.061
,KR7000240002,한국앤컴퍼니,"16,250",0,"23,733,810","94,935,240",0.031
,KR7000270009,기아,"84,500",0,"251,325,275","405,363,347",1.708
,KR7000660001,SK하이닉스,"127,500",0,"560,561,821","728,002,365",5.749
,KR7000670000,영풍,"677,000",0,"368,408","1,842,040",0.02
,KR7000720003,현대건설,"44,950",0,"73,494,804","111,355,765",0.266
,KR7000810002,삼성화재,"222,000",0,"31,267,392","47,374,837",0.558
,KR7000880005,한화,"32,200",0,"36,729,780","74,958,735",0.095
,KR7000990002,DB하이텍,"71,500",0,"35,074,884","44,398,588",0.202
,KR7001040005,CJ,"86,700",0,"13,713,189","29,176,998",0.096
,KR7001120005,LX인터내셔널,"27,600",0,"28,294,800","38,760,000",0.063
,KR7001230002,동국제강,"15,950",0,"67,757,243","95,432,737",0.087
,KR7001440007,대한전선,"1,760",0,"513,883,805","856,473,009",0.073
,KR7001450006,현대해상,"24,900",0,"59,898,000","89,400,000",0.12
,KR7001680008,대상,"23,900",0,"19,056,413","34,648,025",0.037
,KR7001740000,SK네트웍스,"5,080",0,"119,130,070","248,187,647",0.049
,KR7001800002,오리온홀딩스,"16,250",0,"20,672,989","62,645,422",0.027
,KR7002350007,넥센타이어,"6,910",0,"32,230,399","97,667,877",0.018
,KR7002380004,KCC,"315,000",0,"4,176,641","8,886,471",0.106
,KR7002790004,아모레G,"45,950",0,"26,386,617","82,458,180",0.098
,KR7003000007,부광약품,"13,250",0,"53,297,286","71,063,049",0.057
,KR7003090008,대웅,"31,800",0,"19,186,853","58,141,980",0.049
,KR7003240009,태광산업,"993,000",0,"233,814","1,113,400",0.019
,KR7003410008,쌍용C&E,"7,890",0,"105,810,515","503,859,595",0.067
,KR7003490000,대한항공,"29,000",0,"215,648,911","347,820,825",0.503
,KR7003520004,영진약품,"5,240",0,"87,788,510","182,892,731",0.037
,KR7003550001,LG,"83,700",0,"81,796,516","157,300,993",0.551
,KR7003670007,포스코케미칼,"142,000",0,"27,112,127","77,463,220",0.31
,KR7003850005,보령제약,"14,650",0,"27,476,000","68,690,000",0.032
,KR7004000006,롯데정밀화학,"78,400",0,"17,544,000","25,800,000",0.111
,KR7004020004,현대제철,"42,000",0,"84,070,844","133,445,785",0.284
,KR7004170007,신세계,"250,000",0,"7,088,530","9,845,181",0.143
,KR7004370003,농심,"320,000",0,"3,041,321","6,082,642",0.078
,KR7004490009,세방전지,"76,200",0,"7,980,000","14,000,000",0.049
,KR7004800009,효성,"104,000",0,"8,849,830","21,071,025",0.074
,KR7004990008,롯데지주,"31,100",0,"24,129,124","104,909,237",0.06
,KR7005250006,녹십자홀딩스,"27,500",0,"22,103,258","47,028,210",0.049
,KR7005300009,롯데칠성,"136,500",0,"3,062,031","9,278,884",0.034
,KR7005380001,현대차,"214,000",0,"141,021,003","213,668,187",2.428
,KR7005440003,현대그린푸드,"8,860",0,"50,806,330","97,704,482",0.036
,KR7005490008,POSCO,"283,500",0,"64,518,257","87,186,835",1.471
,KR7005830005,DB손해보험,"59,100",0,"43,896,000","70,800,000",0.209
,KR7005850003,에스엘,"32,150",0,"16,389,114","48,203,277",0.042
,KR7005930003,삼성전자,"80,300",0,"4,716,128,214","5,969,782,550",30.464
